Settore storico pe;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Superficie somministrazione
;;;PZA;OSPEDALE MAGGIORE;3;1523;9;;;;
;;;VLE;ALEMAGNA EMILIO;6;7106;1;;;;
;;"codvia 9305 mm3 maciac; (z.d. 9)";VIA;SERIO;15;4130;5;;;;110
;;CSO BUENOS AIRES N. 36 (z.d. 3);CSO;BUENOS AIRES;36;2129;3;;;;
;;CSO MATTEOTTI GIACOMO N. 7 (z.d. 1);CSO;MATTEOTTI GIACOMO;7;218;1;;;;
;;LGO DOMODOSSOLA N. 1 (z.d. 8);LGO;DOMODOSSOLA;1;6140;8;;;;68
;;LGO DOMODOSSOLA N. 1 (z.d. 8);LGO;DOMODOSSOLA;1;6140;8;;;;
;;--mahler--;VLE;LIGURIA;21;5264;6;;;;
;;"PLE LOTTO LORENZO N. 15 c/o lido di milano; (z.d. 7)";PLE;LOTTO LORENZO;15;6539;8;;;;
;;"PLE LOTTO LORENZO N. 15 interno centro balneare; (z.d. 7)";PLE;LOTTO LORENZO;15;6539;8;;;;
;;PLE LOTTO LORENZO N. 15 interno centro sportivo - stagionale dal 05.06.2011 al 12.09.2011 (z.d. 8);PLE;LOTTO LORENZO;15;6539;8;;;;26
;;"PLE LOTTO LORENZO N. 15 piscina lido di milano; (z.d. 7)";PLE;LOTTO LORENZO;15;6539;8;;;;
;;PLE LOTTO LORENZO N. 15 (z.d. 8);PLE;LOTTO LORENZO;15;6539;8;;;;625
;;"PZA CADUTI DEL LAVORO N. 5 interno campo sportivo; (z.d. 5)";PZA;CADUTI DEL LAVORO;5;5249;5;;;;15
;;PZA CAIAZZO interno metropolitana mm2;VIA;PISANELLO;1;6600;7;;;;86
;;"PZA CASTELLO num.000 pl cannone-castello sforzesco; ()";PZA;CASTELLO;;704;1;;;;
;;PZA DUCA D'AOSTA interno stazione centrale;PZA;DUCA D'AOSTA;;1200;2;;;;131
;;"PZA ESQUILINO N. 9 condominio san siro club; (z.d. 7)";PZA;ESQUILINO;9;6533;7;;;;263
;;PZA LUIGI DI SAVOIA N. 1 (z.d. 2);PZA;LUIGI DI SAVOIA;1;2260;2;;;;222
;;PZA OSPEDALE MAGGIORE N. 3 blocco sud area s5 (z.d. 9);PZA;OSPEDALE MAGGIORE;3;1523;9;;;;31
;;"PZA STUPARICH CARLO N. 1 impianto sportivo c/o palalido; ()";PZA;STUPARICH CARLO;1;6468;8;;;;80
;;"PZA STUPARICH CARLO N. 1 palalido; ()";PZA;STUPARICH CARLO;1;6468;8;;;;
;;"VIA ACHILLE num.000 chiosco n� 1; ()";VIA;PARAVIA PIER ALESSANDRO;73;6571;7;;;;
;;"VIA ALSERIO N. 5 interno discoteca pulp; (z.d. 9)";VIA;ALSERIO;5;1153;9;;;;
;;VIA AMPERE ANDREA MARIA N. 20 (z.d. 3);VIA;AMPERE ANDREA MARIA;20;2428;3;;;;25
;;"VIA ARPINO N. 11 interno parrocchia; (z.d. 7)";VIA;ARPINO;11;6331;7;;;;232
;;VIA BELGIOIOSO CRISTINA N. 120 (z.d. 8);VIA;BELGIOIOSO CRISTINA;120;7501;8;;;;
;;"VIA BORSA MARIO N. 50 c/o parrocchia; isolato:003; (z.d. 8)";VIA;BORSA MARIO;50;7523;8;;;;45
;;VIA CALABRIA DON GIOVANNI N. 16 associazione polisportiva dilettantistica cimiano (z.d. 3);VIA;CALABRIA DON GIOVANNI;16;2524;3;;;;118
;;"VIA CALABRIA DON GIOVANNI N. 21 banqueting; (z.d. 3)";VIA;CALABRIA DON GIOVANNI;21;2524;3;;;;
;;VIA CANDIANI GIUSEPPE N. 131 (z.d. 9);VIA;CANDIANI GIUSEPPE;131;1242;9;;;;
;;"VIA CANDIANI GIUSEPPE N. 26 c/o bocciodromo comunale; (z.d. 9)";VIA;CANDIANI GIUSEPPE;26;1242;9;;;;120
;;VIA CASTELBARCO GIAN CARLO N. 30 c/o collegio universitario (z.d. 5);VIA;CASTELBARCO GIAN CARLO;30;4201;5;;;;44
;;VIA CASTEL MORRONE N. 5 (z.d. 3);VIA;CASTEL MORRONE;5;3185;3;;;;
;;VIA CAVEZZALI FRANCESCO civ. 9
interno bowling;VIA;CAVEZZALI FRANCESCO;;2335;2;;;;1760
;;VIA CAVIGLIA ENRICO N. 11 (z.d. 4);VIA;CAVIGLIA ENRICO;11;4198;4;;;;20
;;VIA CILEA FRANCESCO N. 51 interno centro sportivo (z.d. 8);VIA;CILEA FRANCESCO;51;7526;8;;;;58
;;"VIA CILEA FRANCESCO num.061 polisportiva san leonardo; (z.d. 8)";VIA;CILEA FRANCESCO;;7526;8;;;;
;;VIA CORELLI ARCANGELO N. 136 (z.d. 3);VIA;CORELLI ARCANGELO;136;3243;3;;;;144
;;VIA CORELLI ARCANGELO N. 36/7 (z.d. 3);VIA;CORELLI ARCANGELO;36/7;3243;3;;;;494
;;"VIA CURTATONE N. 12 ; isolato:113; (z.d. 1)";VIA;CURTATONE;12;4034;1;;;;27
;;VIA DARWIN CARLO ROBERTO N. 20 (z.d. 6);VIA;DARWIN CARLO ROBERTO;20;5238;6;;;;16
;;VIA DEGLI ULIVI N. 2 (z.d. 7);VIA;DEGLI ULIVI;2;6825;7;;;;
;;"VIA DEI CICLAMINI N. 18 interno impianto sportivo; (z.d. 6)";VIA;DEI CICLAMINI;18;6693;6;;;;
;;"VIA DEI MISSAGLIA num.046/3 ; (z.d. 5)";VIA;GOLA EMILIO;4;5154;6;;;;
;;VIA DEI PESTAGALLI N. 27 (z.d. 4);VIA;DEI PESTAGALLI;27;3376;4;;;;
;;"VIA DEI PICCOLOMINI N. 5 area conces. stadio san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;
;;"VIA DEI PICCOLOMINI N. 5 area conces.stadio san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;
;;"VIA DEI PICCOLOMINI N. 5 area conc stadio san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
